production_id,time_id,site_id,material_id,employee_id,shift_id,produced_volume,unit_cost,date,day,month,year,day_name,site_name,region,latitude,longitude,material_name,material_type,unit_of_measure,quantity,employee_name,position,department,status,hire_date,shift_name,start_time,end_time
13,20240109,3,5,10,3,64,202,2024-01-09,9,1,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
14,20240109,2,1,4,1,53,205,2024-01-09,9,1,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
15,20240110,2,1,4,1,240,464,2024-01-10,10,1,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
16,20240111,3,4,7,2,217,467,2024-01-11,11,1,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Afternoon,14:00:00,22:00:00
17,20240111,5,4,10,1,58,157,2024-01-11,11,1,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
18,20240112,5,3,9,1,158,177,2024-01-12,12,1,2024,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
19,20240112,2,4,9,3,186,174,2024-01-12,12,1,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
20,20240113,3,3,5,1,203,141,2024-01-13,13,1,2024,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
21,20240114,3,1,10,3,437,423,2024-01-14,14,1,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
22,20240114,4,2,1,1,258,280,2024-01-14,14,1,2024,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Morning,06:00:00,14:00:00
23,20240115,5,5,1,2,321,132,2024-01-15,15,1,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
24,20240116,1,1,6,1,192,170,2024-01-16,16,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Morning,06:00:00,14:00:00
25,20240116,5,4,2,1,148,155,2024-01-16,16,1,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
26,20240117,5,5,8,1,426,204,2024-01-17,17,1,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
27,20240118,4,2,9,3,357,299,2024-01-18,18,1,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
28,20240118,1,2,4,2,118,200,2024-01-18,18,1,2024,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
29,20240119,4,3,5,1,296,355,2024-01-19,19,1,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
30,20240119,1,5,8,3,310,406,2024-01-19,19,1,2024,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
31,20240120,2,3,3,2,325,173,2024-01-20,20,1,2024,Saturday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
32,20240121,1,1,5,3,128,270,2024-01-21,21,1,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
33,20240121,4,5,3,3,195,476,2024-01-21,21,1,2024,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
34,20240122,5,1,10,2,160,242,2024-01-22,22,1,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
35,20240123,1,3,3,1,307,265,2024-01-23,23,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
36,20240123,1,5,3,3,142,498,2024-01-23,23,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
37,20240124,3,3,7,3,62,360,2024-01-24,24,1,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
38,20240125,5,5,7,1,309,320,2024-01-25,25,1,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
39,20240125,2,3,7,1,475,182,2024-01-25,25,1,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
40,20240126,4,2,10,2,158,281,2024-01-26,26,1,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
41,20240126,2,3,8,2,379,406,2024-01-26,26,1,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,David Jackson,Operator,Processing,Active,2023-01-17,Afternoon,14:00:00,22:00:00
42,20240127,5,2,5,2,238,109,2024-01-27,27,1,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
43,20240128,1,3,5,1,144,495,2024-01-28,28,1,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
44,20240128,1,5,4,3,154,103,2024-01-28,28,1,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
45,20240129,5,5,7,3,57,450,2024-01-29,29,1,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
46,20240130,1,5,10,2,116,435,2024-01-30,30,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Nickel,Metal,Ton,2515,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
47,20240130,1,4,4,1,240,391,2024-01-30,30,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
48,20240131,1,1,2,3,415,380,2024-01-31,31,1,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
49,20240131,4,5,4,2,305,314,2024-01-31,31,1,2024,Wednesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
50,20240201,4,2,8,3,58,197,2024-02-01,1,2,2024,Thursday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
51,20240202,3,5,9,3,166,200,2024-02-02,2,2,2024,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
52,20240202,2,4,3,1,316,108,2024-02-02,2,2,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
53,20240203,5,2,7,1,148,160,2024-02-03,3,2,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
54,20240204,5,4,9,3,347,408,2024-02-04,4,2,2024,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2023-01-12,Night,22:00:00,06:00:00
55,20240204,5,2,4,2,446,245,2024-02-04,4,2,2024,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
56,20240205,3,3,10,1,213,162,2024-02-05,5,2,2024,Monday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
57,20240206,4,1,3,3,425,220,2024-02-06,6,2,2024,Tuesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
58,20240206,3,1,5,1,190,325,2024-02-06,6,2,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
59,20240207,5,4,1,1,317,204,2024-02-07,7,2,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Morning,06:00:00,14:00:00
60,20240207,2,1,3,1,86,359,2024-02-07,7,2,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
61,20240208,1,4,8,3,123,448,2024-02-08,8,2,2024,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
62,20240209,4,4,8,2,122,354,2024-02-09,9,2,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Afternoon,14:00:00,22:00:00
63,20240209,4,4,4,2,357,306,2024-02-09,9,2,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
64,20240210,3,1,2,2,248,127,2024-02-10,10,2,2024,Saturday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Afternoon,14:00:00,22:00:00
65,20240211,4,4,8,1,179,269,2024-02-11,11,2,2024,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
66,20240211,5,1,8,3,295,435,2024-02-11,11,2,2024,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
67,20240212,5,4,10,1,361,175,2024-02-12,12,2,2024,Monday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Morning,06:00:00,14:00:00
68,20240213,3,5,4,2,109,215,2024-02-13,13,2,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
69,20240213,5,4,3,2,328,168,2024-02-13,13,2,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
70,20240214,2,2,2,3,152,453,2024-02-14,14,2,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
71,20240214,3,4,9,1,345,333,2024-02-14,14,2,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
72,20240215,2,3,1,2,369,100,2024-02-15,15,2,2024,Thursday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
73,20240216,1,4,7,3,390,266,2024-02-16,16,2,2024,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
74,20240216,2,2,5,1,200,451,2024-02-16,16,2,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
75,20240217,1,2,8,1,206,317,2024-02-17,17,2,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,David Jackson,Operator,Processing,Active,2023-01-17,Morning,06:00:00,14:00:00
76,20240218,1,1,4,2,255,372,2024-02-18,18,2,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
77,20240218,2,5,7,2,228,467,2024-02-18,18,2,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Afternoon,14:00:00,22:00:00
78,20240219,3,4,5,1,246,350,2024-02-19,19,2,2024,Monday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
79,20240220,5,1,5,1,272,446,2024-02-20,20,2,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
80,20240220,5,5,9,2,138,443,2024-02-20,20,2,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
81,20240221,1,4,9,1,336,273,2024-02-21,21,2,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
82,20240221,1,3,9,2,483,269,2024-02-21,21,2,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
83,20240222,3,4,6,1,325,345,2024-02-22,22,2,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Morning,06:00:00,14:00:00
84,20240223,4,2,6,2,285,189,2024-02-23,23,2,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
85,20240223,2,2,5,3,232,148,2024-02-23,23,2,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
86,20240224,1,3,9,2,258,393,2024-02-24,24,2,2024,Saturday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Gold,Metal,Ton,1769,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
87,20240225,5,1,10,2,179,249,2024-02-25,25,2,2024,Sunday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Robert Blair,Technician,Processing,Active,2023-01-01,Afternoon,14:00:00,22:00:00
88,20240225,3,5,8,3,202,231,2024-02-25,25,2,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,David Jackson,Operator,Processing,Active,2023-01-17,Night,22:00:00,06:00:00
89,20240226,2,4,7,1,62,158,2024-02-26,26,2,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
90,20240227,3,2,7,3,171,423,2024-02-27,27,2,2024,Tuesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Iron,Metal,Ton,4380,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Night,22:00:00,06:00:00
91,20240227,2,1,6,2,408,298,2024-02-27,27,2,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Coal,Ore,Ton,2685,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
92,20240228,2,3,5,1,269,314,2024-02-28,28,2,2024,Wednesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Morning,06:00:00,14:00:00
93,20240228,1,2,4,3,155,485,2024-02-28,28,2,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
94,20240229,3,3,3,1,424,148,2024-02-29,29,2,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
95,20240301,3,4,3,1,119,331,2024-03-01,1,3,2024,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2023-01-20,Morning,06:00:00,14:00:00
96,20240301,5,5,6,3,244,346,2024-03-01,1,3,2024,Friday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
97,20240302,5,2,4,1,235,481,2024-03-02,2,3,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
98,20240303,1,2,6,3,148,338,2024-03-03,3,3,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Night,22:00:00,06:00:00
99,20240303,1,4,3,2,131,466,2024-03-03,3,3,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Karen Mack,Supervisor,Mining,Active,2023-01-20,Afternoon,14:00:00,22:00:00
100,20240304,4,1,4,1,124,267,2024-03-04,4,3,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Morning,06:00:00,14:00:00
101,20240305,5,5,9,2,423,147,2024-03-05,5,3,2024,Tuesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
102,20240305,2,2,5,2,389,150,2024-03-05,5,3,2024,Tuesday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Iron,Metal,Ton,4380,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
103,20240306,3,5,7,1,241,398,2024-03-06,6,3,2024,Wednesday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Zachary Nielsen,Operator,Logistics,Active,2023-01-11,Morning,06:00:00,14:00:00
104,20240306,1,2,10,3,374,197,2024-03-06,6,3,2024,Wednesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Iron,Metal,Ton,4380,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
105,20240307,3,5,2,1,263,315,2024-03-07,7,3,2024,Thursday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Nickel,Metal,Ton,2515,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
106,20240308,3,3,5,2,364,276,2024-03-08,8,3,2024,Friday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Afternoon,14:00:00,22:00:00
107,20240308,4,2,9,2,493,479,2024-03-08,8,3,2024,Friday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Iron,Metal,Ton,4380,James Johnson,Technician,Mining,Inactive,2023-01-12,Afternoon,14:00:00,22:00:00
108,20240309,5,5,3,3,431,179,2024-03-09,9,3,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Nickel,Metal,Ton,2515,Karen Mack,Supervisor,Mining,Active,2023-01-20,Night,22:00:00,06:00:00
109,20240310,1,1,9,1,416,284,2024-03-10,10,3,2024,Sunday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,James Johnson,Technician,Mining,Inactive,2023-01-12,Morning,06:00:00,14:00:00
110,20240310,3,3,6,2,367,466,2024-03-10,10,3,2024,Sunday,Site Batu B,Papua,4.639878836228101,133.30880728874675,Gold,Metal,Ton,1769,Randall Howard,Operator,Logistics,Inactive,2023-01-16,Afternoon,14:00:00,22:00:00
